,Cod,Nome,Pop,UF,code,ip_vl_n,cat_ibp
0,1100015,Alta Floresta D'Oeste (RO),22516,RO,110001,0.086,4
1,1100023,Ariquemes (RO),111148,RO,110002,-0.5361,4
2,1100031,Cabixi (RO),5067,RO,110003,0.0332,4
3,1100049,Cacoal (RO),86416,RO,110004,-0.71,3
4,1100056,Cerejeiras (RO),16088,RO,110005,-0.4319,4
5,1100064,Colorado do Oeste (RO),15213,RO,110006,-0.2137,4
6,1100072,Corumbiara (RO),7052,RO,110007,0.106,4
7,1100080,Costa Marques (RO),19255,RO,110008,0.1579,4
8,1100098,Espigão D'Oeste (RO),33009,RO,110009,-0.159,4
9,1100106,Guajará-Mirim (RO),46930,RO,110010,-0.1703,4
10,1100114,Jaru (RO),51469,RO,110011,-0.1969,4
11,1100122,Ji-Paraná (RO),131026,RO,110012,-0.638,3
12,1100130,Machadinho D'Oeste (RO),41724,RO,110013,0.282,4
13,1100148,Nova Brasilândia D'Oeste (RO),20504,RO,110014,0.2196,4
14,1100155,Ouro Preto do Oeste (RO),35445,RO,110015,-0.3858,4
15,1100189,Pimenta Bueno (RO),37098,RO,110018,-0.7013,3
16,1100205,Porto Velho (RO),548952,RO,110020,-0.862,3
17,1100254,Presidente Médici (RO),18165,RO,110025,-0.0041,4
18,1100262,Rio Crespo (RO),3843,RO,110026,0.1431,4
19,1100288,Rolim de Moura (RO),55748,RO,110028,-0.522,4
20,1100296,Santa Luzia D'Oeste (RO),5942,RO,110029,0.0945,4
21,1100304,Vilhena (RO),104517,RO,110030,-0.8001,3
22,1100320,São Miguel do Guaporé (RO),23147,RO,110032,0.1707,4
23,1100338,Nova Mamoré (RO),32184,RO,110033,0.4018,4
24,1100346,Alvorada D'Oeste (RO),13807,RO,110034,0.0274,4
25,1100379,Alto Alegre dos Parecis (RO),13268,RO,110037,0.4241,4
26,1100403,Alto Paraíso (RO),22258,RO,110040,0.1596,4
27,1100452,Buritis (RO),41043,RO,110045,0.0251,4
28,1100502,Novo Horizonte do Oeste (RO),8125,RO,110050,0.3111,4
29,1100601,Cacaulândia (RO),6307,RO,110060,0.0882,4
30,1100700,Campo Novo de Rondônia (RO),14391,RO,110070,0.4988,4
31,1100809,Candeias do Jamari (RO),28068,RO,110080,-0.0057,4
32,1100908,Castanheiras (RO),2923,RO,110090,0.1765,4
33,1100924,Chupinguaia (RO),11755,RO,110092,-0.0258,4
34,1100940,Cujubim (RO),27131,RO,110094,0.057,4
35,1101005,Governador Jorge Teixeira (RO),7130,RO,110100,0.2721,4
36,1101104,Itapuã do Oeste (RO),10819,RO,110110,0.1275,4
37,1101203,Ministro Andreazza (RO),9461,RO,110120,0.2009,4
38,1101302,Mirante da Serra (RO),10691,RO,110130,0.1817,4
39,1101401,Monte Negro (RO),16158,RO,110140,0.2396,4
40,1101435,Nova União (RO),6822,RO,110143,0.505,4
41,1101450,Parecis (RO),6319,RO,110145,0.4004,4
42,1101468,Pimenteiras do Oeste (RO),2127,RO,110146,-0.1863,4
43,1101476,Primavera de Rondônia (RO),2697,RO,110147,0.1345,4
44,1101484,São Felipe D'Oeste (RO),4962,RO,110148,0.1925,4
45,1101492,São Francisco do Guaporé (RO),21088,RO,110149,0.109,4
46,1101500,Seringueiras (RO),11846,RO,110150,0.2069,4
47,1101559,Teixeirópolis (RO),4160,RO,110155,0.0282,4
48,1101609,Theobroma (RO),10348,RO,110160,0.5061,4
49,1101708,Urupá (RO),11081,RO,110170,0.214,4
50,1101757,Vale do Anari (RO),11545,RO,110175,0.56,4
51,1101807,Vale do Paraíso (RO),6490,RO,110180,0.3147,4
52,1200013,Acrelândia (AC),15721,AC,120001,0.6025,4
53,1200054,Assis Brasil (AC),7649,AC,120005,0.8754,4
54,1200104,Brasiléia (AC),27123,AC,120010,0.4046,4
55,1200138,Bujari (AC),10572,AC,120013,0.9741,4
56,1200179,Capixaba (AC),12280,AC,120017,0.7993,4
57,1200203,Cruzeiro do Sul (AC),89760,AC,120020,0.6384,4
58,1200252,Epitaciolândia (AC),18979,AC,120025,0.4179,4
59,1200302,Feijó (AC),34986,AC,120030,1.8459,4
60,1200328,Jordão (AC),8628,AC,120032,2.0934,4
61,1200336,Mâncio Lima (AC),19643,AC,120033,1.2828,4
62,1200344,Manoel Urbano (AC),9701,AC,120034,1.5551,4
63,1200351,Marechal Thaumaturgo (AC),19727,AC,120035,2.2735,4
64,1200385,Plácido de Castro (AC),20147,AC,120038,0.6587,4
65,1200393,Porto Walter (AC),12497,AC,120039,2.3076,4
66,1200401,Rio Branco (AC),419452,AC,120040,-0.5822,4
67,1200427,Rodrigues Alves (AC),19767,AC,120042,1.8311,4
68,1200435,Santa Rosa do Purus (AC),6893,AC,120043,1.8831,4
69,1200450,Senador Guiomard (AC),23446,AC,120045,0.3997,4
70,1200500,Sena Madureira (AC),47168,AC,120050,1.048,4
71,1200609,Tarauacá (AC),43730,AC,120060,1.7851,4
72,1200708,Xapuri (AC),19866,AC,120070,0.7597,4
73,1200807,Porto Acre (AC),19141,AC,120080,1.0593,4
74,1300029,Alvarães (AM),16396,AM,130002,1.3741,4
75,1300060,Amaturá (AM),11934,AM,130006,1.6375,4
76,1300086,Anamã (AM),14292,AM,130008,1.0859,4
77,1300102,Anori (AM),21937,AM,130010,1.3077,4
78,1300144,Apuí (AM),22739,AM,130014,0.3333,4
