,cases,deaths,cases_cum,case_adj,case_adj_cum,date
0,1,0,1,0.0,0.0,2020-02-26
1,1,0,2,0.0,0.0,2020-02-27
2,1,0,3,0.0,0.0,2020-02-28
3,2,0,5,0.0,0.0,2020-02-29
4,9,3,14,500.0,500.0,2020-03-01
5,3,2,17,333.3333333333333,833.3333333333333,2020-03-02
6,12,4,29,666.6666666666666,1500.0,2020-03-03
7,5,1,34,166.66666666666666,1666.6666666666667,2020-03-04
8,5,0,39,0.0,1666.6666666666667,2020-03-05
9,10,3,49,500.0,2166.666666666667,2020-03-06
10,15,3,64,500.0,2666.666666666667,2020-03-07
11,25,2,89,333.3333333333333,3000.0000000000005,2020-03-08
12,27,5,116,833.3333333333334,3833.333333333334,2020-03-09
13,14,3,130,500.0,4333.333333333334,2020-03-10
14,113,20,243,3333.3333333333335,7666.666666666668,2020-03-11
15,297,15,540,2500.0,10166.666666666668,2020-03-12
16,330,12,870,2000.0,12166.666666666668,2020-03-13
17,197,6,1067,1000.0,13166.666666666668,2020-03-14
18,522,21,1589,3500.0,16666.666666666668,2020-03-15
19,260,16,1849,2666.6666666666665,19333.333333333336,2020-03-16
20,224,9,2073,1500.0,20833.333333333336,2020-03-17
21,267,20,2340,3333.3333333333335,24166.666666666668,2020-03-18
22,354,19,2694,3166.6666666666665,27333.333333333336,2020-03-19
23,1015,41,3709,6833.333333333333,34166.66666666667,2020-03-20
24,441,43,4150,7166.666666666667,41333.333333333336,2020-03-21
25,607,60,4757,10000.0,51333.333333333336,2020-03-22
26,775,63,5532,10500.0,61833.333333333336,2020-03-23
27,850,69,6382,11500.0,73333.33333333334,2020-03-24
28,1795,89,8177,14833.333333333332,88166.66666666667,2020-03-25
29,1351,114,9528,19000.0,107166.66666666667,2020-03-26
30,1288,98,10816,16333.333333333332,123500.0,2020-03-27
31,1437,150,12253,25000.0,148500.0,2020-03-28
32,1385,133,13638,22166.666666666668,170666.66666666666,2020-03-29
33,3013,237,16651,39500.0,210166.66666666666,2020-03-30
34,1475,171,18126,28500.0,238666.66666666666,2020-03-31
35,1612,178,19738,29666.666666666664,268333.3333333333,2020-04-01
36,2297,272,22035,45333.333333333336,313666.6666666666,2020-04-02
37,1928,218,23963,36333.333333333336,349999.99999999994,2020-04-03
38,8000,241,31963,40166.666666666664,390166.6666666666,2020-04-04
39,2068,244,34031,40666.666666666664,430833.3333333333,2020-04-05
40,2155,241,36186,40166.666666666664,471000.0,2020-04-06
41,2099,229,38285,38166.666666666664,509166.6666666667,2020-04-07
42,1967,240,40252,40000.0,549166.6666666667,2020-04-08
43,3068,296,43320,49333.333333333336,598500.0000000001,2020-04-09
44,4083,282,47403,47000.0,645500.0000000001,2020-04-10
45,4720,494,52123,82333.33333333333,727833.3333333335,2020-04-11
46,5616,375,57739,62500.0,790333.3333333335,2020-04-12
47,3079,394,60818,65666.66666666667,856000.0000000001,2020-04-13
48,3197,409,64015,68166.66666666667,924166.6666666667,2020-04-14
49,14156,416,78171,69333.33333333333,993500.0000000001,2020-04-15
50,3591,468,81762,78000.0,1071500.0,2020-04-16
51,3434,433,85196,72166.66666666667,1143666.6666666667,2020-04-17
52,3742,487,88938,81166.66666666667,1224833.3333333335,2020-04-18
53,6140,500,95078,83333.33333333333,1308166.6666666667,2020-04-19
54,6945,790,102023,131666.66666666666,1439833.3333333335,2020-04-20
55,3961,543,105984,90500.0,1530333.3333333335,2020-04-21
56,4831,636,110815,106000.0,1636333.3333333335,2020-04-22
57,6171,676,116986,112666.66666666667,1749000.0000000002,2020-04-23
58,5320,742,122306,123666.66666666666,1872666.666666667,2020-04-24
59,7724,883,130030,147166.66666666666,2019833.3333333337,2020-04-25
60,7182,738,137212,123000.0,2142833.333333334,2020-04-26
61,6255,832,143467,138666.66666666666,2281500.0000000005,2020-04-27
62,20500,929,163967,154833.33333333334,2436333.333333334,2020-04-28
63,6105,868,170072,144666.66666666666,2581000.0000000005,2020-04-29
64,12167,1479,182239,246500.0,2827500.0000000005,2020-04-30
65,11143,834,193382,139000.0,2966500.0000000005,2020-05-01
66,7747,971,201129,161833.33333333334,3128333.333333334,2020-05-02
67,7706,959,208835,159833.33333333334,3288166.6666666674,2020-05-03
68,8952,1114,217787,185666.66666666666,3473833.333333334,2020-05-04
69,9820,1137,227607,189500.0,3663333.333333334,2020-05-05
70,8273,1060,235880,176666.66666666666,3840000.0000000005,2020-05-06
71,10208,1155,246088,192500.0,4032500.0000000005,2020-05-07
72,10477,1240,256565,206666.66666666666,4239166.666666667,2020-05-08
73,8819,994,265384,165666.66666666666,4404833.333333334,2020-05-09
74,22465,1330,287849,221666.66666666666,4626500.000000001,2020-05-10
75,25503,2014,313352,335666.6666666667,4962166.666666668,2020-05-11
76,13113,1317,326465,219500.0,5181666.666666668,2020-05-12
77,11732,1251,338197,208500.0,5390166.666666668,2020-05-13
78,16830,1377,355027,229500.0,5619666.666666668,2020-05-14
79,18144,1428,373171,238000.0,5857666.666666668,2020-05-15
80,12822,1140,385993,190000.0,6047666.666666668,2020-05-16
81,13129,1207,399122,201166.66666666666,6248833.333333335,2020-05-17
82,15476,1275,414598,212500.0,6461333.333333335,2020-05-18
83,13434,1207,428032,201166.66666666666,6662500.000000002,2020-05-19
84,23648,1775,451680,295833.3333333333,6958333.333333335,2020-05-20
85,16526,1228,468206,204666.66666666666,7163000.000000002,2020-05-21
86,17115,1166,485321,194333.33333333334,7357333.333333335,2020-05-22
87,14644,1153,499965,192166.66666666666,7549500.000000002,2020-05-23
88,15525,1152,515490,192000.0,7741500.000000002,2020-05-24
89,23825,1424,539315,237333.3333333333,7978833.333333335,2020-05-25
90,14996,1082,554311,180333.33333333334,8159166.666666668,2020-05-26
91,14714,1041,569025,173500.0,8332666.666666668,2020-05-27
92,20500,1184,589525,197333.33333333334,8530000.000000002,2020-05-28
93,16365,1031,605890,171833.33333333334,8701833.333333336,2020-05-29
94,26535,1517,632425,252833.3333333333,8954666.66666667,2020-05-30
95,16062,995,648487,165833.33333333334,9120500.000000004,2020-05-31
96,17562,1013,666049,168833.33333333334,9289333.333333338,2020-06-01
97,14780,945,680829,157500.0,9446833.333333338,2020-06-02
98,14099,998,694928,166333.33333333334,9613166.666666672,2020-06-03
99,24943,1305,719871,217500.0,9830666.666666672,2020-06-04
100,17320,965,737191,160833.33333333334,9991500.000000006,2020-06-05
101,16823,880,754014,146666.66666666666,10138166.666666672,2020-06-06
102,19499,937,773513,156166.66666666666,10294333.333333338,2020-06-07
