,cases,deaths,cases_cum,case_adj,case_adj_cum,date
0,1,0,1,0.0,0.0,2020-02-26
1,5,0,6,0.0,0.0,2020-02-27
2,2,0,8,0.0,0.0,2020-02-28
3,6,0,14,0.0,0.0,2020-02-29
4,2,0,16,0.0,0.0,2020-03-01
5,2,0,18,0.0,0.0,2020-03-02
6,1,0,19,0.0,0.0,2020-03-03
7,1,0,20,0.0,0.0,2020-03-04
8,1,0,21,0.0,0.0,2020-03-05
9,1,0,22,0.0,0.0,2020-03-06
10,1,0,23,0.0,0.0,2020-03-07
11,1,0,24,0.0,0.0,2020-03-08
12,1,0,25,0.0,0.0,2020-03-09
13,1,0,26,0.0,0.0,2020-03-10
14,1,0,27,0.0,0.0,2020-03-11
15,2,0,29,0.0,0.0,2020-03-12
16,1,0,30,0.0,0.0,2020-03-13
17,1,0,31,0.0,0.0,2020-03-14
18,1,0,32,0.0,0.0,2020-03-15
19,1,0,33,0.0,0.0,2020-03-16
20,1,1,34,166.66666666666666,166.66666666666666,2020-03-17
21,3,1,37,166.66666666666666,333.3333333333333,2020-03-18
22,2,0,39,0.0,333.3333333333333,2020-03-19
23,1,1,40,166.66666666666666,500.0,2020-03-20
24,6,0,46,0.0,500.0,2020-03-21
25,5,0,51,0.0,500.0,2020-03-22
26,4,1,55,166.66666666666666,666.6666666666666,2020-03-23
27,6,2,61,333.3333333333333,1000.0,2020-03-24
28,16,4,77,666.6666666666666,1666.6666666666665,2020-03-25
29,36,1,113,166.66666666666666,1833.3333333333333,2020-03-26
30,32,1,145,166.66666666666666,2000.0,2020-03-27
31,21,1,166,166.66666666666666,2166.6666666666665,2020-03-28
32,52,2,218,333.3333333333333,2500.0,2020-03-29
33,29,1,247,166.66666666666666,2666.6666666666665,2020-03-30
34,31,2,278,333.3333333333333,3000.0,2020-03-31
35,32,3,310,500.0,3500.0,2020-04-01
36,41,2,351,333.3333333333333,3833.3333333333335,2020-04-02
37,100,3,451,500.0,4333.333333333334,2020-04-03
38,51,3,502,500.0,4833.333333333334,2020-04-04
39,91,10,593,1666.6666666666667,6500.000000000001,2020-04-05
40,124,15,717,2500.0,9000.0,2020-04-06
41,130,12,847,2000.0,11000.0,2020-04-07
42,189,9,1036,1500.0,12500.0,2020-04-08
43,212,17,1248,2833.3333333333335,15333.333333333334,2020-04-09
44,171,15,1419,2500.0,17833.333333333336,2020-04-10
45,206,12,1625,2000.0,19833.333333333336,2020-04-11
46,190,23,1815,3833.333333333333,23666.666666666668,2020-04-12
47,410,42,2225,7000.0,30666.666666666668,2020-04-13
48,214,22,2439,3666.6666666666665,34333.333333333336,2020-04-14
49,275,22,2714,3666.6666666666665,38000.0,2020-04-15
50,386,51,3100,8500.0,46500.0,2020-04-16
51,305,24,3405,4000.0,50500.0,2020-04-17
52,5892,21,9297,3500.0,54000.0,2020-04-18
53,365,36,9662,6000.0,60000.0,2020-04-19
54,329,45,9991,7500.0,67500.0,2020-04-20
55,291,22,10282,3666.6666666666665,71166.66666666667,2020-04-21
56,277,35,10559,5833.333333333333,77000.0,2020-04-22
57,435,34,10994,5666.666666666667,82666.66666666667,2020-04-23
58,308,49,11302,8166.666666666666,90833.33333333334,2020-04-24
59,572,65,11874,10833.333333333334,101666.66666666667,2020-04-25
60,384,36,12258,6000.0,107666.66666666667,2020-04-26
61,380,46,12638,7666.666666666666,115333.33333333334,2020-04-27
62,520,47,13158,7833.333333333333,123166.66666666667,2020-04-28
63,10281,45,23439,7500.0,130666.66666666667,2020-04-29
64,474,47,23913,7833.333333333333,138500.0,2020-04-30
65,367,41,24280,6833.333333333333,145333.33333333334,2020-05-01
66,432,48,24712,8000.0,153333.33333333334,2020-05-02
67,2724,53,27436,8833.333333333334,162166.6666666667,2020-05-03
68,743,81,28179,13500.0,175666.6666666667,2020-05-04
69,490,37,28669,6166.666666666667,181833.33333333334,2020-05-05
