,cases,deaths,cases_cum,case_adj,case_adj_cum,date
0,7,0,7,0.0,0.0,2020-02-26
1,2,0,9,0.0,0.0,2020-02-27
2,2,0,11,0.0,0.0,2020-02-28
3,3,0,14,0.0,0.0,2020-02-29
4,3,0,17,0.0,0.0,2020-03-01
5,5,0,22,0.0,0.0,2020-03-02
6,2,0,24,0.0,0.0,2020-03-03
7,5,0,29,0.0,0.0,2020-03-04
8,2,0,31,0.0,0.0,2020-03-05
9,4,0,35,0.0,0.0,2020-03-06
10,1,0,36,0.0,0.0,2020-03-07
11,2,0,38,0.0,0.0,2020-03-08
12,2,0,40,0.0,0.0,2020-03-09
13,3,0,43,0.0,0.0,2020-03-10
14,1,0,44,0.0,0.0,2020-03-11
15,2,0,46,0.0,0.0,2020-03-12
16,3,0,49,0.0,0.0,2020-03-13
17,1,0,50,0.0,0.0,2020-03-14
18,1,0,51,0.0,0.0,2020-03-15
19,1,0,52,0.0,0.0,2020-03-16
20,2,0,54,0.0,0.0,2020-03-17
21,1,0,55,0.0,0.0,2020-03-18
22,2,0,57,0.0,0.0,2020-03-19
23,1,0,58,0.0,0.0,2020-03-20
24,2,0,60,0.0,0.0,2020-03-21
25,2,0,62,0.0,0.0,2020-03-22
26,1,0,63,0.0,0.0,2020-03-23
27,2,0,65,0.0,0.0,2020-03-24
28,2,0,67,0.0,0.0,2020-03-25
29,2,0,69,0.0,0.0,2020-03-26
30,1,0,70,0.0,0.0,2020-03-27
31,1,0,71,0.0,0.0,2020-03-28
32,5,2,76,333.3333333333333,666.6666666666666,2020-03-29
33,1,1,77,166.66666666666666,1000.0,2020-03-30
34,4,2,81,333.3333333333333,1666.6666666666665,2020-03-31
35,1,1,82,166.66666666666666,1999.9999999999998,2020-04-01
36,1,0,83,0.0,1999.9999999999998,2020-04-02
37,4,0,87,0.0,1999.9999999999998,2020-04-03
38,3,3,90,500.0,3000.0,2020-04-04
39,7,1,97,166.66666666666666,3333.3333333333335,2020-04-05
40,7,1,104,166.66666666666666,3666.666666666667,2020-04-06
41,2,0,106,0.0,3666.666666666667,2020-04-07
42,19,7,125,1166.6666666666667,6000.0,2020-04-08
43,70,3,195,500.0,7000.0,2020-04-09
44,85,5,280,833.3333333333334,8666.666666666666,2020-04-10
45,47,1,327,166.66666666666666,9000.0,2020-04-11
46,151,3,478,500.0,10000.0,2020-04-12
47,57,1,535,166.66666666666666,10333.333333333334,2020-04-13
48,41,0,576,0.0,10333.333333333334,2020-04-14
49,58,2,634,333.3333333333333,11000.0,2020-04-15
50,54,2,688,333.3333333333333,11666.666666666666,2020-04-16
51,268,3,956,500.0,12666.666666666666,2020-04-17
52,44,1,1000,166.66666666666666,13000.0,2020-04-18
53,77,3,1077,500.0,14000.0,2020-04-19
54,92,4,1169,666.6666666666666,15333.333333333334,2020-04-20
55,86,1,1255,166.66666666666666,15666.666666666668,2020-04-21
56,263,4,1518,666.6666666666666,17000.0,2020-04-22
57,143,12,1661,2000.0,21000.0,2020-04-23
58,120,3,1781,500.0,22000.0,2020-04-24
59,146,7,1927,1166.6666666666667,24333.333333333332,2020-04-25
60,136,10,2063,1666.6666666666667,27666.666666666664,2020-04-26
61,448,23,2511,3833.333333333333,35333.33333333333,2020-04-27
62,151,11,2662,1833.3333333333333,38999.99999999999,2020-04-28
63,160,13,2822,2166.6666666666665,43333.33333333333,2020-04-29
64,232,12,3054,2000.0,47333.33333333333,2020-04-30
65,177,11,3231,1833.3333333333333,50999.99999999999,2020-05-01
66,316,21,3547,3500.0,57999.99999999999,2020-05-02
67,232,23,3779,3833.333333333333,65666.66666666666,2020-05-03
68,261,16,4040,2666.6666666666665,70999.99999999999,2020-05-04
69,267,17,4307,2833.3333333333335,76666.66666666666,2020-05-05
70,259,19,4566,3166.6666666666665,82999.99999999999,2020-05-06
71,463,31,5029,5166.666666666667,93333.33333333331,2020-05-07
72,205,32,5234,5333.333333333333,103999.99999999999,2020-05-08
73,769,64,6003,10666.666666666666,125333.33333333331,2020-05-09
74,469,49,6472,8166.666666666666,141666.66666666666,2020-05-10
75,500,39,6972,6500.0,154666.66666666666,2020-05-11
76,503,48,7475,8000.0,170666.66666666666,2020-05-12
77,861,49,8336,8166.666666666666,187000.0,2020-05-13
78,616,67,8952,11166.666666666666,209333.33333333334,2020-05-14
79,600,60,9552,10000.0,229333.33333333334,2020-05-15
80,641,58,10193,9666.666666666666,248666.6666666667,2020-05-16
81,660,70,10853,11666.666666666666,272000.0,2020-05-17
82,1643,111,12496,18500.0,309000.0,2020-05-18
83,775,77,13271,12833.333333333334,334666.6666666667,2020-05-19
84,971,79,14242,13166.666666666666,361000.0,2020-05-20
85,1163,111,15405,18500.0,398000.0,2020-05-21
86,1153,108,16558,18000.0,434000.0,2020-05-22
87,2118,127,18676,21166.666666666668,476333.3333333333,2020-05-23
88,1281,121,19957,20166.666666666668,516666.6666666666,2020-05-24
89,1563,137,21520,22833.333333333332,562333.3333333333,2020-05-25
90,1729,161,23249,26833.333333333332,615999.9999999999,2020-05-26
