t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
53,0,2,2,0.0,0.0,0.0,2020-02-22
54,0,4,6,0.0,0.0,0.0,2020-02-23
55,0,4,10,0.0,0.0,0.0,2020-02-24
56,0,4,14,0.0,0.0,0.0,2020-02-25
57,0,9,23,0.0,0.0,0.0,2020-02-26
58,0,3,26,0.0,0.0,0.0,2020-02-27
59,0,8,34,0.0,0.0,0.0,2020-02-28
61,6,26,60,0.23076923076923078,1000.0,1000.0,2020-03-01
62,7,16,76,0.4375,1166.6666666666667,2166.666666666667,2020-03-02
63,5,18,94,0.2777777777777778,833.3333333333334,3000.0000000000005,2020-03-03
64,2,22,116,0.09090909090909091,333.3333333333333,3333.333333333334,2020-03-04
65,10,21,137,0.47619047619047616,1666.6666666666667,5000.000000000001,2020-03-05
66,9,34,171,0.2647058823529412,1500.0,6500.000000000001,2020-03-06
67,6,23,194,0.2608695652173913,1000.0,7500.000000000001,2020-03-07
68,10,39,233,0.2564102564102564,1666.6666666666667,9166.666666666668,2020-03-08
69,8,66,299,0.12121212121212122,1333.3333333333333,10500.000000000002,2020-03-09
70,21,83,382,0.25301204819277107,3500.0,14000.000000000002,2020-03-10
71,27,83,465,0.3253012048192771,4500.0,18500.0,2020-03-11
72,31,112,577,0.2767857142857143,5166.666666666667,23666.666666666668,2020-03-12
73,35,121,698,0.2892561983471074,5833.333333333333,29500.0,2020-03-13
74,39,171,869,0.22807017543859648,6500.0,36000.0,2020-03-14
75,47,209,1078,0.22488038277511962,7833.333333333333,43833.333333333336,2020-03-15
76,61,236,1314,0.2584745762711864,10166.666666666666,54000.0,2020-03-16
77,47,212,1526,0.22169811320754718,7833.333333333333,61833.333333333336,2020-03-17
78,85,265,1791,0.32075471698113206,14166.666666666666,76000.0,2020-03-18
79,70,253,2044,0.2766798418972332,11666.666666666666,87666.66666666667,2020-03-19
80,104,385,2429,0.2701298701298701,17333.333333333332,105000.0,2020-03-20
81,94,329,2758,0.2857142857142857,15666.666666666666,120666.66666666667,2020-03-21
82,89,326,3084,0.27300613496932513,14833.333333333332,135500.0,2020-03-22
83,139,441,3525,0.31519274376417233,23166.666666666668,158666.66666666666,2020-03-23
84,110,371,3896,0.29649595687331537,18333.333333333332,177000.0,2020-03-24
85,120,377,4273,0.3183023872679045,20000.0,197000.0,2020-03-25
86,112,380,4653,0.29473684210526313,18666.666666666668,215666.66666666666,2020-03-26
87,104,350,5003,0.29714285714285715,17333.333333333332,233000.0,2020-03-27
88,112,379,5382,0.2955145118733509,18666.666666666668,251666.66666666666,2020-03-28
89,112,363,5745,0.3085399449035813,18666.666666666668,270333.3333333333,2020-03-29
90,127,418,6163,0.3038277511961722,21166.666666666668,291500.0,2020-03-30
91,110,365,6528,0.3013698630136986,18333.333333333332,309833.3333333333,2020-03-31
92,179,549,7077,0.32604735883424407,29833.333333333332,339666.6666666666,2020-04-01
93,149,419,7496,0.3556085918854415,24833.333333333332,364499.99999999994,2020-04-02
94,146,421,7917,0.34679334916864607,24333.333333333332,388833.33333333326,2020-04-03
95,159,439,8356,0.3621867881548975,26500.0,415333.33333333326,2020-04-04
96,160,450,8806,0.35555555555555557,26666.666666666668,441999.99999999994,2020-04-05
97,169,465,9271,0.3634408602150538,28166.666666666668,470166.6666666666,2020-04-06
98,171,475,9746,0.36,28500.0,498666.6666666666,2020-04-07
99,170,492,10238,0.34552845528455284,28333.333333333332,527000.0,2020-04-08
100,179,496,10734,0.36088709677419356,29833.333333333332,556833.3333333334,2020-04-09
101,229,687,11421,0.3333333333333333,38166.666666666664,595000.0,2020-04-10
102,187,506,11927,0.3695652173913043,31166.666666666664,626166.6666666666,2020-04-11
103,228,624,12551,0.36538461538461536,38000.0,664166.6666666666,2020-04-12
104,208,610,13161,0.34098360655737703,34666.666666666664,698833.3333333333,2020-04-13
105,261,656,13817,0.3978658536585366,43500.0,742333.3333333333,2020-04-14
106,283,771,14588,0.3670557717250324,47166.666666666664,789499.9999999999,2020-04-15
107,203,641,15229,0.3166926677067083,33833.333333333336,823333.3333333333,2020-04-16
108,262,715,15944,0.36643356643356645,43666.666666666664,866999.9999999999,2020-04-17
109,291,814,16758,0.3574938574938575,48500.0,915499.9999999999,2020-04-18
110,250,671,17429,0.37257824143070045,41666.666666666664,957166.6666666665,2020-04-19
111,394,1080,18509,0.3648148148148148,65666.66666666667,1022833.3333333331,2020-04-20
