name,mean,CIme_L,CIme_H,median,CImd_L,CImd_H
All,12.353649347495129,12.35362380659284,12.353674888397418,8.0,8.0,8.0
All_CURA,12.591755645765755,12.591713076773438,12.591798214758072,7.0,7.0,7.0
All_MORTE,11.904381448147191,11.904322135850046,11.904440760444336,9.0,9.0,9.0
AGEGRP_AG50t65,12.892891876121112,12.892808994988524,12.8929747572537,8.0,8.0,8.0
AGEGRP_AG50t65_CURA,12.815728068720583,12.815598084061927,12.81585805337924,7.0,7.0,7.0
AGEGRP_AG50t65_MORTE,13.062313608538691,13.062100706544102,13.06252651053328,10.0,10.0,10.0
AGEGRP_AG75t85,12.407820131364733,12.407624349035451,12.408015913694015,8.0,8.0,8.0
AGEGRP_AG75t85_MORTE,11.098494709789392,11.098208147009137,11.098781272569648,8.0,8.0,9.0
AGEGRP_AG75t85_CURA,14.078690689155806,14.07816232006508,14.079219058246533,8.0,8.0,8.0
AGEGRP_AG65t75,13.348673414003384,13.348535916092562,13.348810911914207,9.0,9.0,9.0
AGEGRP_AG65t75_CURA,14.002548898448083,14.002259733879617,14.002838063016549,8.0,8.0,8.0
AGEGRP_AG65t75_MORTE,12.589177513077804,12.588933174809936,12.589421851345671,10.0,10.0,10.0
AGEGRP_AG30t40,11.276484494507022,11.27624004055082,11.276728948463225,6.0,6.0,6.0
AGEGRP_AG30t40_CURA,11.111158901770644,11.110862902805984,11.111454900735303,6.0,6.0,6.0
AGEGRP_AG30t40_MORTE,12.240048617441508,12.238755160460165,12.24134207442285,10.0,9.0,10.0
AGEGRP_AG85+,10.532691366391807,10.532300111289105,10.53308262149451,7.0,7.0,7.0
AGEGRP_AG85+_MORTE,8.687599856063333,8.687086750901763,8.688112961224903,7.0,7.0,7.0
AGEGRP_AG85+_CURA,14.019749190718425,14.018383689401348,14.021114692035502,8.0,8.0,9.0
AGEGRP_AG18t30,11.156427981392113,11.155753117739126,11.1571028450451,6.0,6.0,6.0
AGEGRP_AG18t30_CURA,11.01535883831332,11.014567404324973,11.016150272301667,6.0,6.0,6.0
AGEGRP_AG18t30_MORTE,12.2132660595619,12.209337524877924,12.217194594245875,9.0,9.0,9.0
AGEGRP_AG40t50,11.961595835025662,11.961435474949628,11.961756195101696,7.0,7.0,7.0
AGEGRP_AG40t50_CURA,11.859141178103744,11.858929562796668,11.859352793410821,7.0,7.0,7.0
AGEGRP_AG40t50_MORTE,12.366228070175438,12.365628935311491,12.366827205039385,10.0,10.0,10.0
AGEGRP_AG0t18,11.525345797233623,11.523232660150319,11.527458934316927,5.0,5.0,5.0
AGEGRP_AG0t18_CURA,11.501341589267286,11.49905711779022,11.50362606074435,5.0,5.0,5.0
AGEGRP_AG0t18_MORTE,11.803443328550932,11.775407878526204,11.83147877857566,6.0,5.0,6.0
AGEGRP_,10.0,4.746278175621554,15.253721824378445,7.0,2.0,21.0
AGEGRP__CURA,10.0,4.746278175621554,15.253721824378445,7.0,2.0,21.0
CS_SEXO_M,12.453851486116958,12.45380626940895,12.453896702824967,8.0,8.0,8.0
CS_SEXO_M_CURA,12.57189516866557,12.57181975944222,12.57197057788892,7.0,7.0,7.0
CS_SEXO_M_MORTE,12.233636773540988,12.233531012949648,12.233742534132329,10.0,9.0,10.0
CS_SEXO_F,12.227119510455543,12.227060850409064,12.227178170502022,7.0,7.0,7.0
