name,mean,CIme_L,CIme_H,median,CImd_L,CImd_H
All,13.094497966709786,13.094436588858509,13.094559344561064,9.0,9.0,9.0
All_MORTE,12.519139410674038,12.519056472280004,12.519222349068071,9.0,9.0,9.0
All_CURA,13.892559657091677,13.892378529188344,13.892740784995011,8.0,8.0,8.0
AGEGRP_AG50t65,13.936423616589819,13.936220385142892,13.936626848036745,10.0,10.0,10.0
AGEGRP_AG50t65_MORTE,13.35547026970191,13.355182875873142,13.355757663530676,10.0,10.0,10.0
AGEGRP_AG50t65_CURA,14.663303162658528,14.662747464291085,14.66385886102597,9.0,9.0,9.0
AGEGRP_AG65t75,13.705741387084384,13.705457937881958,13.70602483628681,10.0,10.0,10.0
AGEGRP_AG65t75_CURA,15.186010801652017,15.184815066084525,15.18720653721951,9.0,9.0,9.0
AGEGRP_AG65t75_MORTE,13.023795584827418,13.023464291795054,13.024126877859782,10.0,10.0,10.0
AGEGRP_AG40t50,13.103599358076266,13.10317088025106,13.104027835901473,9.0,9.0,9.0
AGEGRP_AG40t50_CURA,13.259857703304741,13.25900105107891,13.260714355530572,8.0,8.0,8.0
AGEGRP_AG40t50_MORTE,12.89250531484864,12.891746417249108,12.893264212448171,10.0,10.0,10.0
AGEGRP_AG30t40,12.268807417128826,12.268074063356707,12.269540770900946,8.0,8.0,8.0
AGEGRP_AG30t40_CURA,12.123421018361766,12.122200475870878,12.124641560852654,7.0,7.0,7.0
AGEGRP_AG30t40_MORTE,12.539029408205252,12.537298336945828,12.540760479464677,10.0,10.0,10.0
AGEGRP_AG75t85,12.299312065499116,12.298908626000483,12.29971550499775,9.0,9.0,9.0
AGEGRP_AG75t85_MORTE,11.614839000225174,11.614415056711831,11.615262943738518,9.0,9.0,9.0
AGEGRP_AG75t85_CURA,14.386229894076108,14.383851567524175,14.38860822062804,9.0,9.0,9.0
AGEGRP_AG85+,10.666156727243953,10.665284084108354,10.667029370379552,7.0,7.0,7.0
AGEGRP_AG85+_MORTE,9.878087301320608,9.87720577834372,9.878968824297496,7.0,7.0,7.0
AGEGRP_AG85+_CURA,13.542310522442973,13.536132969269033,13.548488075616913,8.0,8.0,8.0
AGEGRP_AG18t30,11.741826381059752,11.739768430076847,11.743884332042658,7.0,7.0,8.0
AGEGRP_AG18t30_CURA,11.342262177781855,11.338967558297261,11.345556797266449,7.0,7.0,7.0
AGEGRP_AG18t30_MORTE,12.60177690029615,12.596849346695224,12.606704453897075,9.0,9.0,10.0
AGEGRP_AG0t18,13.14508556716644,13.137251982681388,13.152919151651492,6.0,6.0,7.0
AGEGRP_AG0t18_MORTE,13.089775561097257,13.056624621162788,13.122926501031726,7.0,6.0,7.0
AGEGRP_AG0t18_CURA,13.157407407407407,13.147405333437982,13.167409481376831,6.0,6.0,7.0
AGEGRP_,18.0,18.0,18.0,18.0,18.0,18.0
AGEGRP__CURA,18.0,18.0,18.0,18.0,18.0,18.0
CS_SEXO_M,13.185832437736554,13.18572614182725,13.185938733645859,9.0,9.0,9.0
CS_SEXO_M_MORTE,12.732907867005032,12.732761415734908,12.733054318275157,10.0,10.0,10.0
CS_SEXO_M_CURA,13.809728712885953,13.80941945692439,13.810037968847515,8.0,8.0,8.0
CS_SEXO_F,12.971954117405463,12.971808922665508,12.972099312145419,9.0,9.0,9.0
CS_SEXO_F_CURA,14.004727704347475,14.004290964842887,14.005164443852063,8.0,8.0,9.0
CS_SEXO_F_MORTE,12.234340313948058,12.234149411162191,12.234531216733926,9.0,9.0,9.0
CS_SEXO_I,11.766666666666667,10.634132579169162,12.899200754164173,10.5,7.0,15.0
CS_SEXO_I_CURA,15.071428571428571,14.048473762111001,16.09438338074614,11.0,5.0,19.0
CS_SEXO_I_MORTE,8.875,6.102526294081764,11.647473705918236,10.0,6.0,15.0
RACA_Branca,13.380890460186036,13.380753144787809,13.381027775584263,9.0,9.0,9.0
RACA_Branca_MORTE,12.995387525772465,12.995193055957355,12.995581995587575,10.0,10.0,10.0
RACA_Branca_CURA,13.927346135304516,13.926948024791953,13.92774424581708,9.0,9.0,9.0
RACA_nan,13.705137406742846,13.704765729692944,13.705509083792748,9.0,9.0,9.0
RACA_nan_CURA,14.162030518665095,14.161127207340732,14.162933829989457,8.0,8.0,8.0
RACA_nan_MORTE,13.254875121878047,13.254327621571994,13.255422622184101,10.0,10.0,10.0
RACA_Preta,12.472810159557147,12.471333319237884,12.47428699987641,8.0,8.0,9.0
RACA_Preta_CURA,14.013277273733127,14.008069623518837,14.018484923947417,8.0,8.0,8.0
RACA_Preta_MORTE,11.57630392788152,11.574499842794141,11.5781080129689,9.0,8.0,9.0
RACA_Parda,12.447112378654088,12.446934612025176,12.447290145283,9.0,8.0,9.0
RACA_Parda_MORTE,11.705380659726577,11.705157097722216,11.705604221730939,9.0,9.0,9.0
RACA_Parda_CURA,13.618034734400634,13.617448652951182,13.618620815850086,8.0,8.0,8.0
RACA_Amarela,13.225604132078953,13.218467259889268,13.232741004268638,9.0,9.0,9.0
RACA_Amarela_MORTE,12.556810845706908,12.548919328135307,12.564702363278508,10.0,9.0,10.0
RACA_Amarela_CURA,14.117520447696943,14.095191147357161,14.139849748036726,8.0,8.0,9.0
RACA_Indigena,11.796875,11.751985728310494,11.841764271689506,9.0,8.0,10.0
RACA_Indigena_MORTE,10.317269076305221,10.242918508364825,10.391619644245617,9.0,7.0,9.0
RACA_Indigena_CURA,14.525925925925925,14.420653936638848,14.631197915213003,10.0,8.0,12.0
BDIGRP_BDI1,13.738478605133482,13.738131606147224,13.73882560411974,9.0,9.0,9.0
BDIGRP_BDI1_MORTE,13.099907249961355,13.09944930335057,13.10036519657214,10.0,10.0,10.0
BDIGRP_BDI1_CURA,14.430320387211308,14.42941418181297,14.431226592609647,8.0,8.0,8.0
BDIGRP_BDI2,12.761068372533341,12.760777845519273,12.761358899547409,9.0,9.0,9.0
BDIGRP_BDI2_CURA,13.214538619574245,13.213742124431944,13.215335114716547,8.0,8.0,8.0
BDIGRP_BDI2_MORTE,12.431979317017463,12.431542202856454,12.432416431178472,9.0,9.0,10.0
BDIGRP_BDI3,12.763588723558888,12.763256978333617,12.763920468784159,9.0,9.0,9.0
BDIGRP_BDI3_CURA,14.597062596538995,14.595842830924342,14.598282362153649,9.0,9.0,9.0
BDIGRP_BDI3_MORTE,11.708474576271186,11.708094886539033,11.708854266003339,9.0,9.0,9.0
BDIGRP_BDI0,14.070508878650559,14.070231710122107,14.070786047179011,10.0,10.0,10.0
BDIGRP_BDI0_CURA,14.18964580026527,14.18895013970564,14.1903414608249,9.0,9.0,9.0
