name,mean,CIme_L,CIme_H,median,CImd_L,CImd_H
All,9.004954581513854,9.004921572048435,9.004987590979272,8.0,8.0,8.0
All_MORTE,9.087239675418719,9.087177656257193,9.087301694580244,8.0,8.0,8.0
All_CURA,8.890819525302284,8.890752037889907,8.89088701271466,8.0,8.0,8.0
AGEGRP_AG50t65,9.515594593173093,9.515489021395155,9.515700164951031,9.0,9.0,9.0
AGEGRP_AG50t65_MORTE,9.651932075074917,9.651724248041361,9.652139902108473,9.0,9.0,9.0
AGEGRP_AG50t65_CURA,9.345011314003052,9.344805111866906,9.345217516139199,9.0,9.0,9.0
AGEGRP_AG65t75,9.07858085202318,9.078423418104753,9.078738285941606,8.0,8.0,8.0
AGEGRP_AG65t75_CURA,8.880043418405167,8.879618040107957,8.880468796702377,8.0,8.0,8.0
AGEGRP_AG65t75_MORTE,9.170045127454568,9.169801123510604,9.170289131398532,8.0,8.0,8.0
AGEGRP_AG40t50,9.458911786432992,9.458699459110491,9.459124113755493,9.0,9.0,9.0
AGEGRP_AG40t50_CURA,9.320477868652615,9.32014318745405,9.32081254985118,9.0,9.0,9.0
AGEGRP_AG40t50_MORTE,9.645926280803666,9.645370038836544,9.646482522770787,9.0,9.0,9.0
AGEGRP_AG30t40,9.2585622962618,9.258188189933449,9.258936402590152,9.0,9.0,9.0
AGEGRP_AG30t40_CURA,9.060326865477276,9.059885274376024,9.060768456578527,9.0,9.0,9.0
AGEGRP_AG30t40_MORTE,9.627011981120658,9.62559268109046,9.628431281150856,9.0,8.0,9.0
AGEGRP_AG75t85,8.4048639875978,8.40462355680574,8.40510441838986,7.0,7.0,7.0
AGEGRP_AG75t85_MORTE,8.531637018689484,8.531300823885735,8.531973213493233,7.0,7.0,7.0
AGEGRP_AG75t85_CURA,8.01834052569635,8.017545700103149,8.019135351289552,7.0,7.0,7.0
AGEGRP_AG85+,7.356315775591486,7.355816370772362,7.356815180410609,6.0,6.0,6.0
AGEGRP_AG85+_MORTE,7.474747135320407,7.474088700795713,7.475405569845101,6.0,6.0,6.0
AGEGRP_AG85+_CURA,6.924086337993622,6.922090987322989,6.926081688664255,5.0,5.0,6.0
AGEGRP_AG18t30,8.558749843417262,8.557671293153714,8.55982839368081,8.0,8.0,8.0
AGEGRP_AG18t30_CURA,8.450509127602972,8.448912177374154,8.45210607783179,8.0,8.0,8.0
