name,mean,CIme_L,CIme_H,median,CImd_L,CImd_H
All,19.562316912379586,19.562261868722164,19.56237195603701,17.0,16.0,17.0
All_MORTE,19.562316912379586,19.562261868722164,19.56237195603701,17.0,16.0,17.0
AGEGRP_AG75t85,18.25711758619539,18.25685327688606,18.257381895504718,15.0,15.0,15.0
AGEGRP_AG75t85_MORTE,18.25711758619539,18.25685327688606,18.257381895504718,15.0,15.0,15.0
AGEGRP_AG50t65,21.15250981007691,21.15230598575256,21.152713634401263,18.0,18.0,18.0
AGEGRP_AG50t65_MORTE,21.15250981007691,21.15230598575256,21.152713634401263,18.0,18.0,18.0
AGEGRP_AG85+,15.570852824757107,15.570423924841668,15.571281724672547,13.0,13.0,13.0
AGEGRP_AG85+_MORTE,15.570852824757107,15.570423924841668,15.571281724672547,13.0,13.0,13.0
AGEGRP_AG65t75,20.240003588632316,20.239777464061078,20.240229713203554,17.0,17.0,17.0
AGEGRP_AG65t75_MORTE,20.240003588632316,20.239777464061078,20.240229713203554,17.0,17.0,17.0
AGEGRP_AG40t50,20.64186769005848,20.64129380632735,20.642441573789608,18.0,18.0,18.0
AGEGRP_AG40t50_MORTE,20.64186769005848,20.64129380632735,20.642441573789608,18.0,18.0,18.0
AGEGRP_AG30t40,20.546338498936493,20.54512554720892,20.547551450664066,18.0,17.0,18.0
AGEGRP_AG30t40_MORTE,20.546338498936493,20.54512554720892,20.547551450664066,18.0,17.0,18.0
AGEGRP_AG18t30,19.70748215604233,19.703605965517536,19.711358346567128,17.0,16.0,17.0
AGEGRP_AG18t30_MORTE,19.70748215604233,19.703605965517536,19.711358346567128,17.0,16.0,17.0
AGEGRP_AG0t18,17.692969870875178,17.671082901206045,17.71485684054431,11.0,11.0,12.0
AGEGRP_AG0t18_MORTE,17.692969870875178,17.671082901206045,17.71485684054431,11.0,11.0,12.0
CS_SEXO_M,20.02671858053352,20.026619731598885,20.026817429468153,17.0,17.0,17.0
CS_SEXO_M_MORTE,20.02671858053352,20.026619731598885,20.026817429468153,17.0,17.0,17.0
CS_SEXO_F,18.968376271675513,18.96825221469088,18.968500328660145,16.0,16.0,16.0
CS_SEXO_F_MORTE,18.968376271675513,18.96825221469088,18.968500328660145,16.0,16.0,16.0
CS_SEXO_I,17.958333333333332,17.472086236763296,18.444580429903368,15.0,11.0,19.0
CS_SEXO_I_MORTE,17.958333333333332,17.472086236763296,18.444580429903368,15.0,11.0,19.0
RACA_nan,20.033804447551226,20.033433165547706,20.034175729554747,17.0,17.0,17.0
RACA_nan_MORTE,20.033804447551226,20.033433165547706,20.034175729554747,17.0,17.0,17.0
RACA_Branca,20.071650188891567,20.071522732080417,20.071777645702717,17.0,17.0,17.0
RACA_Branca_MORTE,20.071650188891567,20.071522732080417,20.071777645702717,17.0,17.0,17.0
RACA_Parda,18.973322165419905,18.973168100518976,18.973476230320834,16.0,16.0,16.0
RACA_Parda_MORTE,18.973322165419905,18.973168100518976,18.973476230320834,16.0,16.0,16.0
RACA_Preta,18.019130259983918,18.018070374758153,18.020190145209682,15.0,15.0,15.0
RACA_Preta_MORTE,18.019130259983918,18.018070374758153,18.020190145209682,15.0,15.0,15.0
RACA_Amarela,19.733248822890257,19.727705791802343,19.73879185397817,17.0,17.0,17.0
RACA_Amarela_MORTE,19.733248822890257,19.727705791802343,19.73879185397817,17.0,17.0,17.0
RACA_Indigena,17.662490211433045,17.640072625752783,17.684907797113308,15.0,14.0,15.0
RACA_Indigena_MORTE,17.662490211433045,17.640072625752783,17.684907797113308,15.0,14.0,15.0
BDIGRP_BDI1,18.955775289698998,18.955485387653674,18.956065191744322,16.0,16.0,16.0
BDIGRP_BDI1_MORTE,18.955775289698998,18.955485387653674,18.956065191744322,16.0,16.0,16.0
BDIGRP_BDI0,21.30094852905773,21.3006379592144,21.301259098901063,18.0,18.0,18.0
BDIGRP_BDI0_MORTE,21.30094852905773,21.3006379592144,21.301259098901063,18.0,18.0,18.0
BDIGRP_BDI2,19.807989795641436,19.807704514796157,19.808275076486716,17.0,17.0,17.0
BDIGRP_BDI2_MORTE,19.807989795641436,19.807704514796157,19.808275076486716,17.0,17.0,17.0
BDIGRP_BDI3,19.023279252704032,19.023019326511257,19.023539178896808,16.0,16.0,16.0
BDIGRP_BDI3_MORTE,19.023279252704032,19.023019326511257,19.023539178896808,16.0,16.0,16.0
BDIGRP_BDI4,18.683030278916167,18.682773677909744,18.68328687992259,16.0,16.0,16.0
BDIGRP_BDI4_MORTE,18.683030278916167,18.682773677909744,18.68328687992259,16.0,16.0,16.0
BDIGRP_,23.123642358417378,23.120225006893016,23.12705970994174,19.0,19.0,20.0
BDIGRP__MORTE,23.123642358417378,23.120225006893016,23.12705970994174,19.0,19.0,20.0
VACINA_False,19.61890396407706,19.61884093760478,19.61896699054934,17.0,17.0,17.0
VACINA_False_MORTE,19.61890396407706,19.61884093760478,19.61896699054934,17.0,17.0,17.0
VACINA_True,19.124921625414267,19.124496317917963,19.12534693291057,16.0,16.0,16.0
VACINA_True_MORTE,19.124921625414267,19.124496317917963,19.12534693291057,16.0,16.0,16.0
COMOR_YES,19.774922842994716,19.774845660490886,19.775000025498546,17.0,17.0,17.0
COMOR_YES_MORTE,19.774922842994716,19.774845660490886,19.775000025498546,17.0,17.0,17.0
COMOR_NO,19.01922024873263,19.01902865924689,19.01941183821837,16.0,16.0,16.0
COMOR_NO_MORTE,19.01922024873263,19.01902865924689,19.01941183821837,16.0,16.0,16.0
