n_death,n_cure,mortality,s_mort,ibp_min,ibp_mean,ibp_max
96874,359505,0.21226655915368586,0.000605295722808777,-1.7627,-1.4577714432333788,-1.3144
66793,239351,0.21817510713912408,0.0007464392534009945,-1.3134,-1.1225765423997607,-0.8646
44047,128975,0.25457456277236423,0.0010472706770719238,-0.8632,-0.7140219416313929,-0.4151
14678,44103,0.24970653782684882,0.0017853034844405949,-0.4143,-0.22280747508132348,0.0333
9613,23577,0.2896354323591443,0.002489790836919477,0.0347,0.25292519598353125,0.4824
10184,23923,0.29858973231301494,0.0024780024627076864,0.4843,0.7162133440789025,0.9319
9365,19243,0.32735598434004476,0.002774335857910681,0.933,1.1376924284788068,1.3818
3194,6684,0.32334480664102044,0.004706327484386495,1.382,1.5695251192065776,1.8297
1032,3018,0.2548148148148148,0.006847261775242199,1.8311,1.9861147661318042,2.2736
123,258,0.3228346456692913,0.02395382901489313,2.2843,2.4582398390341957,2.7295
