n_death,n_cure,mortality,ibp_min,ibp_mean,ibp_max,s_mort
130260,110620,0.5407671869810694,-1.7627,-1.4577714432333788,-1.3144,0.0010153628050988918
87552,60278,0.5922478522627342,-1.3134,-1.1225765423997607,-0.8646,0.00127811104359835
51022,27941,0.6461507288223598,-0.8632,-0.7140219416313929,-0.4151,0.0017016265457021917
17635,10824,0.6196633753821287,-0.4143,-0.22280747508132348,0.0333,0.00287774408749994
10017,5362,0.6513427401001366,0.0347,0.25292519598353125,0.4824,0.0038427319944650097
9420,5449,0.6335328535880019,0.4843,0.7162133440789025,0.9319,0.003951492965744179
8290,4567,0.6447849420549118,0.933,1.1376924284788068,1.3818,0.004220688540577825
3219,1624,0.6646706586826348,1.382,1.5695251192065776,1.8297,0.0067839368609132235
1061,496,0.6814386640976237,1.8311,1.9861147661318042,2.2736,0.011807708181195595
70,23,0.7526881720430108,2.2843,2.4582398390341957,2.7295,0.04473923102352044
