t,deaths,cases,cases_cum,nCFR,cases_adj,cases_adj_cum,date
46,0,2,2,0.0,0.0,0.0,2020-02-15
47,0,2,4,0.0,0.0,0.0,2020-02-16
49,0,1,5,0.0,0.0,0.0,2020-02-18
50,0,2,7,0.0,0.0,0.0,2020-02-19
51,3,9,16,0.3333333333333333,500.0,500.0,2020-02-20
52,2,3,19,0.6666666666666666,333.3333333333333,833.3333333333333,2020-02-21
53,4,12,31,0.3333333333333333,666.6666666666666,1500.0,2020-02-22
54,1,70,101,0.014285714285714285,166.66666666666666,1666.6666666666667,2020-02-23
55,0,115,216,0.0,0.0,1666.6666666666667,2020-02-24
56,3,163,379,0.018404907975460124,500.0,2166.666666666667,2020-02-25
57,3,147,526,0.02040816326530612,500.0,2666.666666666667,2020-02-26
58,2,142,668,0.014084507042253521,333.3333333333333,3000.0000000000005,2020-02-27
59,5,218,886,0.022935779816513763,833.3333333333334,3833.333333333334,2020-02-28
60,3,98,984,0.030612244897959183,500.0,4333.333333333334,2020-02-29
61,20,883,1867,0.022650056625141562,3333.3333333333335,7666.666666666668,2020-03-01
62,15,336,2203,0.044642857142857144,2500.0,10166.666666666668,2020-03-02
63,12,361,2564,0.0332409972299169,2000.0,12166.666666666668,2020-03-03
64,6,221,2785,0.027149321266968326,1000.0,13166.666666666668,2020-03-04
65,21,586,3371,0.03583617747440273,3500.0,16666.666666666668,2020-03-05
66,16,286,3657,0.055944055944055944,2666.6666666666665,19333.333333333336,2020-03-06
67,9,255,3912,0.03529411764705882,1500.0,20833.333333333336,2020-03-07
68,20,299,4211,0.06688963210702341,3333.3333333333335,24166.666666666668,2020-03-08
69,19,392,4603,0.04846938775510204,3166.6666666666665,27333.333333333336,2020-03-09
70,41,1142,5745,0.03590192644483362,6833.333333333333,34166.66666666667,2020-03-10
71,43,465,6210,0.09247311827956989,7166.666666666667,41333.333333333336,2020-03-11
72,60,664,6874,0.09036144578313253,10000.0,51333.333333333336,2020-03-12
73,63,844,7718,0.07464454976303317,10500.0,61833.333333333336,2020-03-13
74,69,912,8630,0.0756578947368421,11500.0,73333.33333333334,2020-03-14
75,89,2021,10651,0.04403760514596734,14833.333333333332,88166.66666666667,2020-03-15
76,114,1612,12263,0.0707196029776675,19000.0,107166.66666666667,2020-03-16
77,98,1399,13662,0.07005003573981415,16333.333333333332,123500.0,2020-03-17
78,150,2738,16400,0.0547845142439737,25000.0,148500.0,2020-03-18
79,133,1506,17906,0.08831341301460824,22166.666666666668,170666.66666666666,2020-03-19
80,237,3351,21257,0.07072515666965085,39500.0,210166.66666666666,2020-03-20
81,171,1594,22851,0.10727728983688833,28500.0,238666.66666666666,2020-03-21
82,178,1750,24601,0.10171428571428572,29666.666666666664,268333.3333333333,2020-03-22
83,272,2504,27105,0.10862619808306709,45333.333333333336,313666.6666666666,2020-03-23
84,218,2084,29189,0.10460652591170826,36333.333333333336,349999.99999999994,2020-03-24
85,241,9575,38764,0.02516971279373368,40166.666666666664,390166.6666666666,2020-03-25
86,244,2249,41013,0.1084926634059582,40666.666666666664,430833.3333333333,2020-03-26
87,241,2344,43357,0.10281569965870307,40166.666666666664,471000.0,2020-03-27
88,229,2323,45680,0.09857942315970727,38166.666666666664,509166.6666666667,2020-03-28
89,240,2114,47794,0.11352885525070956,40000.0,549166.6666666667,2020-03-29
90,296,3368,51162,0.08788598574821853,49333.333333333336,598500.0000000001,2020-03-30
91,282,2110,53272,0.13364928909952606,47000.0,645500.0000000001,2020-03-31
92,494,5277,58549,0.0936137957172636,82333.33333333333,727833.3333333335,2020-04-01
93,375,3211,61760,0.11678604796013703,62500.0,790333.3333333335,2020-04-02
94,394,3412,65172,0.11547479484173505,65666.66666666667,856000.0000000001,2020-04-03
95,409,3464,68636,0.1180715935334873,68166.66666666667,924166.6666666667,2020-04-04
96,416,15992,84628,0.026013006503251626,69333.33333333333,993500.0000000001,2020-04-05
97,468,5025,89653,0.09313432835820895,78000.0,1071500.0,2020-04-06
98,433,3791,93444,0.11421788446320232,72166.66666666667,1143666.6666666667,2020-04-07
99,487,4104,97548,0.11866471734892788,81166.66666666667,1224833.3333333335,2020-04-08
100,500,6599,104147,0.07576905591756326,83333.33333333333,1308166.6666666667,2020-04-09
101,790,7755,111902,0.10186976144422953,131666.66666666666,1439833.3333333335,2020-04-10
102,543,4407,116309,0.12321307011572498,90500.0,1530333.3333333335,2020-04-11
103,636,5352,121661,0.11883408071748879,106000.0,1636333.3333333335,2020-04-12
104,676,6799,128460,0.0994263862332696,112666.66666666667,1749000.0000000002,2020-04-13
105,742,6189,134649,0.11989012764582324,123666.66666666666,1872666.666666667,2020-04-14
106,883,8652,143301,0.10205732778548313,147166.66666666666,2019833.3333333337,2020-04-15
107,738,7669,150970,0.09623158169252836,123000.0,2142833.333333334,2020-04-16
108,832,6917,157887,0.1202833598380801,138666.66666666666,2281500.0000000005,2020-04-17
109,929,21090,178977,0.0440493124703651,154833.33333333334,2436333.333333334,2020-04-18
110,868,6633,185610,0.1308608472787577,144666.66666666666,2581000.0000000005,2020-04-19
111,1479,13429,199039,0.1101347829324596,246500.0,2827500.0000000005,2020-04-20
112,834,11796,210835,0.07070193285859613,139000.0,2966500.0000000005,2020-04-21
113,971,8575,219410,0.11323615160349854,161833.33333333334,3128333.333333334,2020-04-22
114,959,8507,227917,0.1127306923709886,159833.33333333334,3288166.6666666674,2020-04-23
115,1114,9884,237801,0.11270740590853905,185666.66666666666,3473833.333333334,2020-04-24
116,1137,10729,248530,0.10597446173921149,189500.0,3663333.333333334,2020-04-25
117,1060,13103,261633,0.08089750438830802,176666.66666666666,3840000.0000000005,2020-04-26
118,1155,11208,272841,0.10305139186295503,192500.0,4032500.0000000005,2020-04-27
119,1240,11465,284306,0.10815525512429132,206666.66666666666,4239166.666666667,2020-04-28
120,994,9607,293913,0.10346622254606017,165666.66666666666,4404833.333333334,2020-04-29
121,1330,23780,317693,0.05592935239697225,221666.66666666666,4626500.000000001,2020-04-30
122,2014,27539,345232,0.07313264824430807,335666.6666666667,4962166.666666668,2020-05-01
123,1317,13925,359157,0.09457809694793537,219500.0,5181666.666666668,2020-05-02
124,1251,12759,371916,0.09804843639783682,208500.0,5390166.666666668,2020-05-03
125,1377,21128,393044,0.06517417644831504,229500.0,5619666.666666668,2020-05-04
126,1428,19763,412807,0.07225623640135607,238000.0,5857666.666666668,2020-05-05
127,1140,13946,426753,0.08174386920980926,190000.0,6047666.666666668,2020-05-06
128,1207,14283,441036,0.08450605615066863,201166.66666666666,6248833.333333335,2020-05-07
129,1275,16960,457996,0.07517688679245282,212500.0,6461333.333333335,2020-05-08
130,1207,14561,472557,0.08289265847125885,201166.66666666666,6662500.000000002,2020-05-09
131,1775,25582,498139,0.06938472363380502,295833.3333333333,6958333.333333335,2020-05-10
132,1228,17949,516088,0.06841606774750683,204666.66666666666,7163000.000000002,2020-05-11
133,1166,18570,534658,0.06278944534194938,194333.33333333334,7357333.333333335,2020-05-12
134,1153,16043,550701,0.07186935111886804,192166.66666666666,7549500.000000002,2020-05-13
135,1152,16833,567534,0.06843699875245055,192000.0,7741500.000000002,2020-05-14
136,1424,26002,593536,0.05476501807553265,237333.3333333333,7978833.333333335,2020-05-15
137,1082,16178,609714,0.06688094943750773,180333.33333333334,8159166.666666668,2020-05-16
138,1041,15876,625590,0.06557067271352986,173500.0,8332666.666666668,2020-05-17
139,1184,22258,647848,0.053194357085093,197333.33333333334,8530000.000000002,2020-05-18
140,1031,17833,665681,0.057814164750743004,171833.33333333334,8701833.333333336,2020-05-19
141,1517,28894,694575,0.05250224960199349,252833.3333333333,8954666.66666667,2020-05-20
142,995,17551,712126,0.05669192638596091,165833.33333333334,9120500.000000004,2020-05-21
143,1013,19262,731388,0.05259059287716748,168833.33333333334,9289333.333333338,2020-05-22
144,945,15939,747327,0.05928853754940711,157500.0,9446833.333333338,2020-05-23
145,998,15126,762453,0.06597910881925162,166333.33333333334,9613166.666666672,2020-05-24
146,1305,27229,789682,0.0479268427044695,217500.0,9830666.666666672,2020-05-25
147,965,19425,809107,0.04967824967824968,160833.33333333334,9991500.000000006,2020-05-26
148,880,18423,827530,0.04776637898279325,146666.66666666666,10138166.666666672,2020-05-27
149,937,21393,848923,0.0437993736268873,156166.66666666666,10294333.333333338,2020-05-28
150,913,20277,869200,0.04502638457365488,152166.66666666666,10446500.000000004,2020-05-29
151,862,20425,889625,0.042203182374541,143666.66666666666,10590166.66666667,2020-05-30
152,844,15389,905014,0.0548443693547339,140666.66666666666,10730833.333333336,2020-05-31
