 ,MORTE, eUTI, NVACC, SEXO, PNEUMOPATI, IMUNODEPRE, OBESIDADE, SIND_DOWN, RENAL, NEUROLOGIC, DIABETES, PUERPERA, OUT_MORBI, HEMATOLOGI, ASMA, HEPATICA, CARDIOPATI, AG50t65_AG65t75, AG50t65_AG40t50, AG50t65_AG75t85, AG50t65_AG30t40, AG50t65_AG85+, AG50t65_AG18t30, AG50t65_AG0t18, BDI_0_BDI_1, BDI_0_BDI_2, BDI_0_BDI_3, BDI_0_BDI_4, T4t12_T0t4, T4t12_T12t40, T4t12_TM40
MORTE, 1.0000000000000002, -0.18676249732363875, -0.636109020918864, -0.2754043416390845, -0.021359643949603366, -0.04312149856918699, -0.10150187390437758, -0.007507340080424292, -0.0135029177118464, -0.04179849005379095, -0.1049307399820326, -0.009953728012117045, -0.15476020168281085, -0.008933424846146037, -0.04094514553321941, -0.014799833206068898, -0.155869876385288, -0.2804869242321019, -0.20242395312048728, -0.2830801880036838, -0.15959076975816622, -0.25777980120093075, -0.09829331776423651, -0.040004127113677644, -0.33015172685339134, -0.35612109218736937, -0.35169771246532, -0.3423818790415785, -0.23295326330490287, -0.2056862319233398, -0.06705799031845319
eUTI, -0.18676249732363884, 0.9999999999999998, 0.021804473932480428, -0.01651488138607057, -0.005764309527694862, 0.01614720346479677, -0.05875736456720423, -9.181380552295094e-06, -0.0063011785150314525, 0.013914134163814295, -0.008014745270151908, -0.010705216978462542, -0.054184401444254675, -0.00017276813586822247, -0.0075743445281633405, 0.00591215366289654, -0.04953594730272162, 0.053968501918150925, -0.034029362810374816, 0.08499357766923918, -0.039642725722176, 0.09755696322233388, -0.022705021492440306, -0.028085102439318686, -0.05134356102176416, -0.004789625929067039, 0.015084078599956554, 0.01616187273830499, 0.1521459037743662, -0.12995519233848798, -0.10411372035881082
NVACC, -0.6361090209188643, 0.021804473932480445, 1.0, -0.0004298337088679588, 0.0007555512041137348, 0.006225540385450812, 0.0351800186449859, 0.0050549704434970965, 0.006432873518446598, 0.009501171395568478, 0.017551701946612472, 0.0007217289215819343, 0.02850286517152048, 1.2298272817903763e-05, 0.003160449519861614, -0.0009138343200314847, 0.0236704171754295, 0.06547286143299272, -0.018815973366147504, 0.09342255788407283, -0.021959078339827968, 0.09287467210845768, -0.01623350423042098, -0.015604243732802447, -0.02753696563145935, -0.018650818868779315, -0.046291721526651744, -0.0554164357219757, 0.005461998816583802, -0.007767253493521544, -0.020074446662301758
SEXO, -0.2754043416390845, -0.01651488138607057, -0.00042983370886799064, 1.0, -0.010537161736003511, 0.014086120962554237, 0.051310035132956955, 0.004930654160538669, -0.023585133583947083, 0.009524115302975629, 0.033708809318382466, 0.05412108776314346, 0.03568424805982972, 0.005003378666601547, 0.044365466756490245, -0.015012130649388784, 0.021521422716403935, 0.021434763804926926, -0.027533007146460935, 0.042470456620450396, -0.01600977744369332, 0.07176968550811355, 0.014394441583724, 0.005112600273213061, 0.005506626370069217, 0.007913315856953637, 0.010265956524976668, 0.003092329069702617, 0.013828381863073304, -0.00252676975649078, -0.004788261242256801
PNEUMOPATI, -0.021359643949603414, -0.0057643095276948665, 0.0007555512041137515, -0.010537161736003473, 1.0000000000000002, -0.027501007109132492, -0.013513175145287727, -0.008730527797359238, -0.01753504022699001, -0.021709226270520153, 0.013257752140837376, -0.00027947471953073755, -0.03082690083473531, -0.015849268079857173, -0.05576517089795866, -0.016287731841979246, -0.042670170241560876, -0.03605826648301837, 0.016950980035362575, -0.054059189700486794, 0.012807704596973755, -0.04202997525946946, 0.006718874083430372, -0.00271838967625632, 0.01045714026422915, 0.01272822637446659, 0.0225730330669119, 0.03219566383032224, 0.0019593573723132693, -0.0021696113458922464, -0.007274363465198513
IMUNODEPRE, -0.043121498569186956, 0.016147203464796762, 0.006225540385450757, 0.014086120962554237, -0.027501007109132492, 1.0, 0.016681818322636658, -0.00590534101978947, -0.05696122020731915, -0.010555792884235833, 0.014450704098923559, 0.003993352855697572, -0.06441686566095034, -0.08311683979431346, 0.0017362060249066296, -0.04043986706852757, 0.004973572969908397, 0.00860247380535738, -0.002650355241866564, 0.020416482623024115, -0.006292162944582318, 0.023156498804954354, -0.011222641862149102, -0.010249222788972574, 0.005781123319911281, 0.012258181607313548, 0.017462870182655788, 0.022818954779327424, 0.005111731301059443, -0.00810115555900965, -0.017197346969674347
OBESIDADE, -0.10150187390437762, -0.05875736456720424, 0.03518001864498588, 0.05131003513295697, -0.013513175145287736, 0.01668181832263665, 1.0, -0.007855235428275568, 0.007095224602501853, 0.008377875231090959, -0.04971429956642846, 0.012212857295365427, -0.035338157138125964, -0.001696127479681192, -0.04146946201826268, -0.00020821912858047593, -0.07907808515980227, 0.059983731285682164, -0.05970623151461663, 0.08320620399655641, -0.07455751901151748, 0.07559962116594739, -0.048713591317346705, 0.012708325162435299, 0.036234224682970106, 0.030191490448095788, 0.04228457269871381, 0.049291943950122694, 0.017030842015236303, -0.0029437719338176274, -0.010602191522964075
SIND_DOWN, -0.007507340080424306, -9.181380552292616e-06, 0.005054970443497101, 0.004930654160538672, -0.008730527797359234, -0.005905341019789471, -0.007855235428275566, 1.0000000000000002, -0.0029523355671992836, -0.016296054891320657, -0.004955080585915961, -0.0009024179210375762, -0.003927640764193218, -0.03765110581577071, -0.013463970156124315, -0.032564009589004524, -0.007920637422795172, 0.007958270007586563, -0.00855066168093645, 0.00980752226970913, -0.016678550785649584, 0.008448118556165214, -0.027844748273125393, -0.032814052365221724, 0.0003460197403921253, -0.0012891745779972448, -0.0010574649486161211, -0.0064589697412557765, 0.0021078483007629712, -0.0008962724286984048, -0.003959522985951038
RENAL, -0.013502917711846417, -0.006301178515031455, 0.006432873518446602, -0.023585133583947086, -0.01753504022699, -0.05696122020731917, 0.007095224602501853, -0.0029523355671992836, 0.9999999999999999, -0.012095899642438875, -0.05751551707223837, -0.00015398053769652908, -0.017766237359277525, -0.020443076466225476, -0.0023858690402929874, -0.03530495534576972, -0.06377183752688494, -0.003271482974251995, 0.002861078545969671, -0.004751519526799719, 0.001455949004645287, -0.004659420094419509, -0.0023831166626408678, 0.0005615989934879867, -0.0002661333648971, 0.0010592029506503009, 0.0017891028384760055, 0.005949754170755757, 0.0055370573061494744, -0.003707772489421609, -0.016734054020211147
NEUROLOGIC, -0.04179849005379095, 0.0139141341638143, 0.009501171395568515, 0.009524115302975655, -0.02170922627052015, -0.010555792884235837, 0.008377875231090954, -0.01629605489132066, -0.012095899642438875, 1.0000000000000002, 0.008276845817168641, 0.0016616214608176324, -0.025005591596751708, -0.01745404769021006, 0.0008569392426746458, -0.013391183745212216, -0.029852794377586374, -0.018818967249403216, 0.0022352950425599803, -0.07041580752604275, -0.0011834684379984446, -0.1091263011865059, -0.009305810460827901, -0.029488453782537373, 0.013166351249091879, 0.02297837744212579, 0.03341350282739673, 0.045347357097797275, 0.00977289585588356, -0.0021253410915747363, -0.013568035789365438
