 ,MORTE, eUTI, NVACC, SEXO, PNEUMOPATI, IMUNODEPRE, OBESIDADE, SIND_DOWN, RENAL, NEUROLOGIC, DIABETES, PUERPERA, OUT_MORBI, HEMATOLOGI, ASMA, HEPATICA, CARDIOPATI, AG0t18_AG18t30, AG0t18_AG30t40, AG0t18_AG40t50, AG0t18_AG50t65, AG0t18_AG65t75, AG0t18_AG75t85, AG0t18_AG85+, Branca_Preta, Branca_Parda, Branca_Amarela, Branca_Indigena, BDI_0_BDI_1, BDI_0_BDI_2, BDI_0_BDI_3, BDI_0_BDI_4, T4t12_T12t40, T4t12_T0t4, T4t12_TM40
MORTE, 1.0, -0.09274285895615818, -0.22758554327783834, -0.08933857490592503, -0.010729227574523548, -0.024622993761426737, -0.024359495836070236, -0.03424562596735319, -0.0035188195747290793, -0.045055149217061836, -0.006072395501053611, -0.01608005810319127, -0.03879884968762194, -0.015514706666554445, -0.03578671649262355, -0.0013250791394182955, -0.018457802723414102, -0.8373701239958046, -0.9075347136765952, -0.9265493138792354, -0.94024049387356, -0.9387852318338936, -0.9356611357437664, -0.9197947982634047, -0.024135758362722, -0.04603861481493686, -0.006369265045524908, -0.026011060061936573, -0.10728613323276778, -0.11823243482613707, -0.11317476745539919, -0.11321459369780001, -0.070057086836457, -0.10832880284199907, -0.022710128299449888
eUTI, -0.09274285895615907, 1.0, 0.01941022746515803, -0.014382019493131424, -0.004767716890253494, 0.016844105605835272, -0.05661600554449511, 0.0004378782968081358, -0.005945062380077086, 0.015807255161016276, -0.006902198432778311, -0.011298506843535092, -0.05060720758795412, -0.000910427840911803, -0.0073388624408246275, 0.00556543985469203, -0.04661798953073107, 0.01368586294612072, 0.014656025222252787, 0.019612874882288644, 0.02909829787889557, 0.04124980392507207, 0.05091382225200411, 0.06126335438778316, 0.02055858192782377, 0.016157638785326996, -0.0025059709263143023, 0.011539476355331818, -0.04305431779708737, -0.0040552091823870115, 0.009809121868614155, 0.013541166049188423, -0.1309240523446086, 0.15338036460456483, -0.10538123212931609
NVACC, -0.22758554327783956, 0.019410227465158074, 1.0000000000000002, -0.0001208428640756529, -0.0008152075640188433, 0.00553082902597887, 0.033359575780934736, 0.005169402564805583, 0.006879075367265429, 0.009916905269041147, 0.01795436061521132, 0.0008751826674003837, 0.02673159321349196, 0.00014071817778431317, 0.003256679539517076, -0.001100500248042441, 0.024877693802261732, 0.006044532459499277, 0.008004527587760095, 0.01075452661713978, 0.016064093500859092, 0.030472163748912824, 0.039190900255138175, 0.04563600144131638, -0.010936656683015846, -0.03241104758704484, -0.0089287811010292, -0.003956155641134701, -0.021406887375702986, -0.013579509980031776, -0.03223292027052789, -0.03793932184208806, -0.007761023088061725, 0.005594380304318462, -0.019791835805292746
SEXO, -0.089338574905925, -0.014382019493131549, -0.00012084286407566797, 1.0, -0.01137829382488941, 0.013942596128651064, 0.053312252956817706, 0.004785497061759874, -0.023173012765993813, 0.008653302844622601, 0.03532796060534306, 0.05533557349957206, 0.036602520051715666, 0.004992681225001876, 0.04452731841893505, -0.015729163034763922, 0.02443708446749499, 0.002239783597414302, -0.01037927104104379, -0.01236679654166288, -0.0055433194283987025, -0.0014016319887591676, 0.004284876098786519, 0.016350926789903998, -0.0012265080394090915, -0.005916433709223829, -0.0059530487079072865, -0.0022967544724305836, 0.0069733523317715785, 0.008893512095241127, 0.012089585663053225, 0.006058978668052791, -0.0027853281918788493, 0.013709644948593813, -0.005183450318358902
PNEUMOPATI, -0.010729227574523327, -0.004767716890253505, -0.0008152075640189073, -0.011378293824889458, 0.9999999999999998, -0.027943635725879348, -0.014118068257613194, -0.009012727252615902, -0.01726729054402711, -0.02235936638097827, 0.013476077332555238, -0.0002860555283243102, -0.03118870668083112, -0.01581144465154608, -0.05849545310645209, -0.017190776735512035, -0.04206736411177537, 0.006483299891387132, 0.007456770092382843, 0.007847173589368968, 0.003357887429839911, -0.0044077263123102565, -0.009792649617225207, -0.0100358608622057, -0.0004899357705653733, 0.007283896249273247, 0.0020637006858095436, 0.0005953754724147288, 0.010948715771578, 0.012538213181186008, 0.019418694408173745, 0.028277518426379933, -0.0018775631133068516, 0.0027566062814311306, -0.0076397026388198295
IMUNODEPRE, -0.024622993761426865, 0.016844105605835272, 0.005530829025978855, 0.013942596128651053, -0.02794363572587934, 1.0, 0.01726730430688202, -0.005027407320211456, -0.05779893021125766, -0.010696975337053818, 0.014494035994052286, 0.00428866934751456, -0.06628890528782723, -0.08592088644857761, 0.0022434150642201708, -0.0412617452779653, 0.006153376184736429, 0.0034751502034204964, 0.007561000112920831, 0.009189445651742626, 0.010153395486106888, 0.011941063859353986, 0.01512614032850359, 0.017317994649422335, -0.0027814052087662116, 0.004298921392348246, 0.001791350008779414, 0.0012577378873982084, 0.006632119794278092, 0.012945936275622587, 0.015430868689194886, 0.020624980758439115, -0.008383413214171291, 0.00493037155881692, -0.018054378349938553
OBESIDADE, -0.024359495836070128, -0.05661600554449512, 0.03335957578093469, 0.05331225295681768, -0.014118068257613187, 0.017267304306882017, 1.0000000000000002, -0.008659356594448065, 0.005969767601362229, 0.008219181565321178, -0.0504494080693112, 0.012237471010709097, -0.03354572076820351, -0.002180798623121028, -0.041075604637455965, 0.0005004559052659142, -0.07922815779674616, -0.034857774598954575, -0.03614408230524619, -0.027432375366528577, -0.012213708860367612, 0.0009018252746497493, 0.008357896146726404, 0.012447525736817068, 0.004050909667746635, 0.026202843299402218, 0.008969166621457459, 0.0035407953514032574, 0.03294444281593431, 0.027781130406868117, 0.034996140888597, 0.03824150210714085, -0.0014835822257467308, 0.016888303542321157, -0.010880501730148246
SIND_DOWN, -0.03424562596735326, 0.000437878296808119, 0.005169402564805539, 0.004785497061759876, -0.009012727252615897, -0.005027407320211453, -0.008659356594448043, 1.0000000000000002, -0.0036534680460804892, -0.01595016782757, -0.00554745160723035, -0.0005245104262670543, -0.004030915108440076, -0.03698292141800199, -0.013781191075570895, -0.02951602620429002, -0.007515826716648135, 0.016057292337733706, 0.026307826848596578, 0.030577478487008404, 0.03292913424822609, 0.03445389068781625, 0.03495300699517782, 0.03459648277759518, 0.003249639237725526, 0.006086835380617768, 0.00017980558855693727, 0.0011293604401408153, 4.849032823585214e-05, -0.0024605851270673774, -0.002680118836730037, -0.00888256333193451, -0.0010838143774617606, 0.0021786379727979145, -0.004274458347336676
RENAL, -0.0035188195747290598, -0.005945062380077074, 0.006879075367265474, -0.02317301276599378, -0.017267290544027123, -0.05779893021125766, 0.00596976760136224, -0.0036534680460804884, 0.9999999999999998, -0.012922984485752487, -0.057459335711176056, -0.0002901734207802999, -0.018990357500291433, -0.019668046100814598, -0.003148229447046856, -0.03493382428574309, -0.06171978713494753, -0.0018879742549180413, -0.00011452350644354936, 8.668784880590213e-05, -0.0007823738627514369, -0.0014696273295407593, -0.0018497505217226983, -0.002153168161007865, -0.021250964425079774, -0.009425236916611162, -0.0027786536213482886, -0.0020053138642882533, 0.0018212002283658473, 0.003062077862199394, 0.003662178750053391, 0.009066942794741378, -0.0038741726174103862, 0.005690153508695912, -0.017153941733961224
NEUROLOGIC, -0.04505514921706199, 0.015807255161016262, 0.009916905269041171, 0.008653302844622578, -0.02235936638097825, -0.010696975337053825, 0.008219181565321186, -0.01595016782756998, -0.012922984485752494, 1.0, 0.008410813050604721, 0.0013430430762201078, -0.025206059080487432, -0.01753855961396878, 0.0003551180212893548, -0.013927966674453335, -0.028510133181231884, 0.02287096876522051, 0.029433836194310375, 0.031077332436312905, 0.030746116964192917, 0.02665257852248988, 0.01359938277402172, -0.0033514308838761726, 0.00966452905694834, 0.01809385981287912, 0.002703407884873635, 0.003693484987932387, 0.011717774320897476, 0.021518433909475755, 0.028550917665237117, 0.03756091694374082, -0.0010482280903061174, 0.010418181860756595, -0.014236325998628115
